,id,text,account_id,n,1,2,3,4,5
0,339487441184489472,-La semana pasada mi hijo hizo un triple salto mortal desde 20 metros de altura - ¿Es trapecista? -Era :(,118161896,0,1,1,0,0,1
1,123874797695406081,"-Yo ya voy por mi segundo millón de dólares... -¿!Ah, si!? -Es que el primero nunca lo hice... ",132679073,2,1,0,0,0,0
2,303628444359593984,-Ayer fue mi cumpleaños y no me felicitaste - ¡FéÉLíCÍDáÁDÉéS! - ¿Qué haces? -Felicitarte con retraso.,118161896,0,1,1,1,0,1
3,484216465449418752,"No es flojera, es un estado de ahorro de energía corporal :)",1518218509,1,1,1,0,0,0
4,353211922365161472,- ¿Cómo te fue en matemática? -Vos sabes que soy muy pacífica - ¿Y eso qué tiene que ver? -No me gustan los problemas jajaja -Castigada - :(,118161896,2,0,0,1,0,0
5,160904596930301952,"-Compadre, su hija antes me daba como por las rodillas, ahora me da hasta las nalgas! ",132679073,1,1,0,0,1,0
6,308966513564585985,Había una vez una tortuguita que fue a su primer día de clases y cuando llegó… ¡Ya estaban de vacaciones!,142482558,1,2,1,0,0,0
7,485274824278044673,"Una novia que sea tan delicada como Neymar, eso es lo que quiero.",142482558,2,0,0,0,1,0
8,37647933457305600,¿Qué le dice el Nesquik a la leche? ¡Te voy a echar un polvo que te va a cambiar el color!  ,132679073,2,1,0,0,1,0
9,230865235190353920,"Si oscar se queda me pego un tiro con un banano, a vd y apago el tv xD (Mateo)",574848706,6,1,1,0,1,0
10,297830865881415681,"- ¿Cual es tu nombre? -Pikachu Rodríguez, ¿y el tuyo? -Pablo - ¡No me jodas! ¿Como el de los picapiedras?",118161896,0,0,1,0,2,0
11,297727963040989185,"Encerrarse a llorar en silencio, respirar, lavarse la cara, salir y poner esa sonrisa de ""Todo está perfecto, no me pasa NADA!"".",142482558,5,0,0,0,0,0
12,91947330185601024,¿Cuál es la diferencia entre cualquier adolescente y E.T.?  Que E.T. llamaba a la casa... by @hadacon ,132679073,1,1,0,0,0,1
13,300643004530688000,"Llegada inoportuna de gente a tu casa, que te obliga a vestirte...",118161896,9,0,0,0,0,0
14,332438759016632320,A mí también la ropa me habla y me dice: ¡COOOMPRAME!,142482558,3,0,1,0,1,0
15,320001094199681024,"La vida es corta... sonríele a quien llora, ignora a quien te critica y sé feliz con quien te importa.",142482558,4,0,0,0,0,0
16,277140797449699328,"-Por vos iría hasta el fin del mundo -Ayyy ♥ ¿en serio? -Sí, con tal de alejarme de vos, ¡feo!",118161896,0,0,1,0,2,0
17,304254540327301120,"Hay cosas que no se deberían romper jamás: Las promesas, los corazones, los condones.",142482558,0,2,0,1,0,1
18,494074845391368192,RT @TodoReflexion: Los bosques serían demasiado silenciosos si cantaran sólo los pájaros que mejor lo hacen,229144847,3,0,0,0,0,0
19,467575309454168064,"—Mamá, mi novia me mandó a la mierda. :( 
—Ponte suéter o no vas.",124053720,1,2,0,0,0,0
20,40539650497974272,"Una madre a su hija: -Es tan desagradable tu último novio, ¡que seré su suegra con verdadero placer!  ",132679073,1,1,1,1,0,0
21,445559322626379776,"Si no eres mala influencia, fracasaste como mejor amigo.",229144847,3,0,1,1,0,1
22,331119973072244736,"Un amigo viene a tiempo, los demás, cuando tienen tiempo.",142482558,2,1,0,0,0,0
23,327504441261568000,"- ¿Qué haces en tu tiempo libre? -Soy asesina en serie - ¿En serio? -No, en serie.",118161896,0,0,0,1,2,1
24,210451505550065664,@coketaboada Jajajaja lolazo.,574848706,4,0,1,0,0,0
25,493969481262051328,RT @TipsKids: Modales en la mesa: Plantéate qué modales para la mesa son más importantes para ti y lo que quieres que tus hijos aprendan y …,297164177,3,0,0,0,0,0
26,230868659390787584,"RT @AnaBuilesC: ""Mateo al 6565"" ya se cagaron la hpta noche con este hpta HT de veras que ustedes valen mnd!!! Partidaas de brutos!",574848706,4,0,0,0,0,0
27,385629950360813568,"A mi también me dijeron ""te debo el regalo"" y todavía lo estoy esperando",118161896,4,0,0,1,0,0
28,346818329580802048,Las mujeres tienen 6 sentidos:    -Tacto.   -Gusto.   -Olfato.   -Oído.   -Vista.   -Detector de zorras.,142482558,1,1,1,0,0,0
29,365864490560000002,"TÍPICO: Te pones los audífonos, te hablan, y tu solo sonríes y dices que ""si""",142482558,5,0,0,0,0,0
30,34716569225400321,Mi padre es un viejo verde. (El increíble Hulk)  ,132679073,1,0,1,0,1,0
31,227968787759120384,"El TT' Original era: The Beatles Nuestros Idolos, Algunos metiron mal el dedo y escribieron: Wisin y Yandel Nuestros Idolos (HP Regayton).",574848706,5,1,0,0,0,1
32,78587692782333952,A mi no me asustan tipos lenguas largas... (Atte. El Clitoris) by @tokesitodeldia ,132679073,1,0,0,1,1,0
33,60523000851742720,"Y a ti ¿qué te parece lo del sexo por teléfono? -Una vez lo intenté, pero los agujeros del micrófono eran demasiado pequeños. by @pipe0405",174450359,1,1,0,1,0,1
34,481949995034099713,"-Papá, ¿me das $100? 
- ¿QUE? ¿Qué te de $50? ¿Para qué queres $30 si con $20 es suficiente? Toma $10 y dale $5 a tu hermano.",124053720,1,0,0,2,0,1
35,450884035653279744,"— Oye, ¿cómo se escribe nariz en inglés? — NOSE — ¿Tú tampoco?. Mierda, nadie lo sabe...",1518218509,1,1,0,1,1,0
36,54023780057620480,"El día que nosotros gobernemos, todos temblarán. (Un epiléptico)   ",132679073,1,1,0,0,0,1
37,443716377904308224,"El vodka es como el agua, pero con superpoderes.",229144847,2,1,0,1,0,1
38,416980646880215040,Nunca es tarde para seguir durmiendo,118161896,2,1,0,1,1,0
39,318175203253444609,La mayoría de los hombres joden demasiado hasta lograr un «SI » y luego no saben qué hacer con él.,142482558,1,0,1,1,0,0
40,453550288670965760,Perdida inmediata de la dignidad al intentar subir un escalón invisible,1518218509,2,1,0,2,0,2
41,201353968738246658,"TE CONQUISTARIA, pero no soy Cristóbal colon :(",574848706,1,0,0,0,2,0
42,24187366780444672,"El optimista piensa que este es el mejor de los mundos posibles, y el pesimista teme que eso sea verdad.  ",132679073,4,0,0,0,0,0
43,32535171014070272,Dicen que la tele engorda... ¡por eso no como tele!  by @leoidair  ,132679073,0,2,1,0,0,0
